%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
26.0, -1969.2333900014628, -5028.807226277259, -2128.5342727344364, -10661.245663314541, -1053.4153644341666, 99.77818724849072, -5321.9950582975225, -1694.597505879105, -1937.2703954303738, -6822.3335531155535, -4642.412619878366, -3275.1564115472333, -4353.046936159961, -3053.2706443394, -10105.983627555803, -14581.853399497677, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365765943E9, 0.0, 2022-02-27 11:22:45.765
28.0, -1523.8748817294695, -4689.731262890251, -1870.0586998532654, -10387.012110592379, -684.8350983661531, 345.6250245124131, -5290.881430015735, -1667.462488110362, -3652.856189353012, -6906.532574478695, -4286.684606872154, -3232.1069517263118, -3933.2141200559286, -2769.515248479277, -10244.36327747861, -14996.902942288274, 0.007, -0.049, 0.495, 192.0, 0.0, 56.0, 126.0, 120.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645921365765946E9, 0.0, 2022-02-27 11:22:45.765
0.0, -676.3637872175917, -2275.854620439365, -856.3623853161795, -5150.177198669577, -289.8127186075114, 211.7827787140344, -2654.9849098902837, -810.8095301162637, -1226.4625700071538, -3583.8116507305685, -2394.497680008135, -1678.7948225492028, -2247.378498003304, -1608.1186065815218, -5131.692306005038, -7476.7032237891235, 0.012, -0.10200000000000001, 0.986, 192.0, 0.0, 48.0, 126.0, 104.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.6459213658641E9, 0.0, 2022-02-27 11:22:45.864
2.0, -2152.9200259351765, -5161.174256941588, -2282.4930885425915, -10919.58712572898, -1303.8890128003375, -124.00747823804359, -5668.760021777156, -2047.9562339730544, -4544.847255330951, -7616.289867912516, -4599.452567035266, -3392.123090281855, -4240.260033638481, -3112.592174123785, -10498.882591591191, -15684.219084288967, 0.012, -0.10200000000000001, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365870209E9, 0.0, 2022-02-27 11:22:45.870
4.0, -1717.6868579014372, -4816.353895229566, -1914.4716160859605, -10521.99429535798, -891.2087549220032, 227.85368297740018, -5315.088369260832, -1608.9456211263682, -1807.8537950341458, -6592.222343948168, -4538.7228773501965, -3162.682433448128, -4294.977104065073, -2975.73244282394, -10017.35896079051, -14408.225048568851, 0.012, -0.10200000000000001, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365876698E9, 0.0, 2022-02-27 11:22:45.876
6.0, -1668.5577235886722, -4799.992418288281, -1951.0614217592981, -10565.870769723746, -867.6500162661096, 184.8042231564788, -5495.310484803973, -1859.3745660036286, -4317.485310731568, -7219.144072430619, -4351.661128003732, -3273.390623735264, -3996.916591753554, -2867.862924082628, -10356.300813710788, -15347.735923258773, 0.012, -0.10200000000000001, 0.986, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365884761E9, 0.0, 2022-02-27 11:22:45.884
8.0, -2114.2962115164055, -5127.713695491993, -2204.0831689933743, -10840.529005590559, -1248.7025557401844, -54.962939615600064, -5516.432883314238, -1868.851705652679, -2826.735714284863, -7217.1994706630085, -4731.149045365935, -3320.7316184916044, -4449.315899528969, -3196.232401875544, -10273.733469692883, -15055.68803020573, 0.012, -0.106, 0.978, 192.0, 0.0, 48.0, 126.0, 88.0, 15.0, 72.0, 0.0, 0.0, 0.0, 1.64592136589265E9, 0.0, 2022-02-27 11:22:45.892
10.0, -1433.5514823855738, -4611.075474152026, -1745.5818349816604, -10343.76148507136, -641.1597897004831, 380.85137377397706, -5274.721118774548, -1585.9680278263127, -2697.5649830776433, -6649.398106264843, -4354.455096060646, -3159.061450846368, -4066.542275731835, -2831.6530980650305, -10085.196505212369, -14617.325617948249, 0.012, -0.106, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365899908E9, 0.0, 2022-02-27 11:22:45.899
12.0, -2135.3739065377604, -5151.272434147887, -2269.953759903164, -10915.58616347148, -1281.7831375340388, -115.22324266710791, -5665.988405464698, -2074.9794930195208, -4586.24268606218, -7628.650382596301, -4593.551706499065, -3402.583706686939, -4220.657553751177, -3102.3550751632542, -10502.213001515032, -15705.63205547715, 0.012, -0.106, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365907986E9, 0.0, 2022-02-27 11:22:45.907
14.0, -1724.9958783383227, -4825.920441856438, -1922.4958923454158, -10536.210004831553, -888.6383043096429, 219.0023921730986, -5324.2302327430525, -1622.2002055883654, -1814.492263137372, -6621.279611740067, -4554.816133358018, -3175.355872554287, -4295.46884244309, -2968.021090986859, -10025.115016116502, -14433.57192678117, 0.012, -0.106, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921365915361E9, 0.0, 2022-02-27 11:22:45.915
