%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
170.0, -1216.1807675577127, -3825.925746670455, -1785.367940112107, -9510.242582588504, -0.6034971002932907, 319.1158555884189, -4774.198505186857, -1421.5932991019845, -3623.5307006276494, -5024.113359941645, -3465.0121289506114, -2854.0942494981587, -2790.2800190782573, -1803.8081292877353, -8541.249756962032, -15432.806662655672, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409100394E9, 0.0, 2022-02-27 11:40:09.100
172.0, -1246.19916036119, -3834.419409563471, -1764.469059046395, -9494.015216113952, -2.2575261899860135, 365.94276022228723, -4619.457378322766, -1211.1292733108132, -1579.5754289120948, -4587.226162818213, -3625.3858954174398, -2813.6599437785085, -3050.4319727935763, -1939.9526047650106, -8336.775998684883, -14765.093000542283, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409100397E9, 0.0, 2022-02-27 11:40:09.100
0.0, -688.3666739900916, -1949.7650205808905, -940.8296276127849, -4775.6290168319965, -40.41195397519517, 172.24254277259624, -2358.600778412912, -649.809914804687, -1645.8707029665356, -2373.4870402201464, -1661.3157583851528, -1382.611856771929, -1329.7499811351279, -835.9999461173948, -4212.49916702499, -7585.131536141817, 0.016, -0.10200000000000001, 0.99, 192.0, 0.0, 64.0, 126.0, 104.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645922409213119E9, 0.0, 2022-02-27 11:40:09.213
2.0, -914.7674935778969, -3528.8263593705133, -1540.7280970487711, -9163.634081320059, 344.887416945388, 652.3133101836813, -4529.715124334708, -1082.137356059236, -1572.087594519567, -4245.825618007853, -3431.417457034285, -2670.0946891420713, -2888.2030115369575, -1775.3096551072188, -8225.330200830722, -14519.603791189647, 0.016, -0.10200000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409219284E9, 0.0, 2022-02-27 11:40:09.219
4.0, -1222.4169042607432, -3793.918048610455, -1819.8566818066458, -9470.769401880432, 22.262337477485833, 377.5656673390469, -4815.61628766254, -1442.8274563345262, -3717.0727511731093, -4998.766481729327, -3473.0140534656116, -2815.7833595017623, -2838.157455701525, -1836.754600614858, -8557.432419947674, -15457.43828504542, 0.016, -0.10200000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409225374E9, 0.0, 2022-02-27 11:40:09.225
6.0, -1219.4217705037322, -3774.0920512785974, -1765.3184253356965, -9416.521718087402, 54.82882914886822, 453.40513627590377, -4660.182256720335, -1211.3751424998215, -1601.9271733674018, -4505.08350194496, -3629.185691974842, -2765.4919344773216, -3093.168508192123, -1967.1099742782087, -8334.049085861336, -14739.58966011878, 0.016, -0.10200000000000001, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409233252E9, 0.0, 2022-02-27 11:40:09.233
8.0, -866.1077458986933, -3502.7418735911697, -1529.3957626099304, -9149.66424103549, 373.6541120593682, 638.4552286213909, -4591.741215198185, -1175.7688135825174, -2725.638774113509, -4518.785121296063, -3350.7947147839923, -2701.185965679403, -2754.517227949766, -1707.2485932408088, -8349.628251746684, -14916.369607015802, 0.014, -0.10200000000000001, 0.988, 192.0, 0.0, 56.0, 126.0, 104.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.645922409241302E9, 0.0, 2022-02-27 11:40:09.241
10.0, -1436.0101742756576, -3960.6397105025903, -1944.7805815673569, -9626.136377589271, -145.35339419286183, 266.8798287963663, -4797.265505464734, -1446.1131627694563, -3036.238615064456, -5077.556380934284, -3689.893029915456, -2888.2253632814127, -3091.112147702235, -2026.8785389516997, -8566.037841562968, -15383.319900431623, 0.014, -0.10200000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409248379E9, 0.0, 2022-02-27 11:40:09.248
12.0, -928.536168162366, -3543.9137868778453, -1543.8126377836036, -9170.272549423284, 337.44428604177074, 644.3337374131366, -4522.450807386734, -1052.3648324447672, -1572.8028503421367, -4258.923740258663, -3440.6263757498714, -2679.035386924194, -2892.963933105938, -1777.4554225749282, -8222.893860685093, -14518.30739001124, 0.014, -0.10200000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409255876E9, 0.0, 2022-02-27 11:40:09.255
14.0, -1218.393590258788, -3796.019112589254, -1813.9558212704446, -9465.203817511061, 31.6500701487148, 372.96120798125366, -4806.608534647052, -1447.610729647962, -3725.5217105772153, -5009.048284178768, -3475.9868354781674, -2817.124464169081, -2843.544226115254, -1840.9567285724556, -8560.561664171419, -15451.693886720406, 0.014, -0.10200000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922409263829E9, 0.0, 2022-02-27 11:40:09.263
