%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
200.0, -1864.135487572609, -4953.794771885249, -2295.367693348848, -10704.540992324472, -1220.807578659961, -192.3591127823726, -5848.088067542085, -2059.288568411895, -3832.720676984868, -7238.970069762478, -4530.22921445718, -3160.5813694693293, -4081.026206138874, -3131.881729588715, -10303.304827607255, -15539.335076729665, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921485989719E9, 0.0, 2022-02-27 11:24:45.989
0.0, -930.1454937631481, -2462.1564104743493, -1144.6328335562746, -5363.166971584198, -591.941248409897, -115.31264964492914, -2972.044404988814, -1095.9954376215264, -1845.9858710748997, -3357.5002381205845, -2094.9396008181097, -1494.504689515196, -1859.0169380923437, -1400.7614732696384, -5055.316395201254, -7572.614559246846, 0.007, -0.056, 0.491, 192.0, 0.0, 56.0, 126.0, 64.0, 15.0, 88.0, 0.0, 0.0, 0.0, 1.645921486085541E9, 0.0, 2022-02-27 11:24:46.085
2.0, -1836.1958070034752, -4891.142832177024, -2193.3096281659164, -10616.497470915017, -1121.1187983892917, -140.7936383239792, -5720.37019972446, -1880.3405023027067, -2323.374429151348, -6815.449215823319, -4651.040393238115, -3098.9352582615925, -4218.601193261289, -3188.8563262052926, -10101.826203087116, -14949.047857409461, 0.007, -0.056, 0.491, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921486092975E9, 0.0, 2022-02-27 11:24:46.092
4.0, -1127.846673470339, -4347.928386679696, -1710.6460583980154, -10098.249923974266, -496.8345757525654, 320.94869863375413, -5479.664263685258, -1617.3722287860191, -2665.1549536174484, -6362.178190014147, -4229.017106177462, -2939.567320295253, -3772.3709669555387, -2800.0700831496815, -9964.765306087173, -14676.088354121252, 0.007, -0.056, 0.491, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921486099695E9, 0.0, 2022-02-27 11:24:46.099
6.0, -1950.3685176811837, -4991.748033970361, -2320.2228331831498, -10759.45922845116, -1251.3400615859107, -261.47070663818204, -5900.122928634039, -2106.026066067942, -4295.714711632098, -7335.619012787225, -4546.277766976091, -3186.3529308262982, -4019.3130396977713, -3140.2859855039105, -10362.358136458175, -15722.977009174469, 0.007, -0.056, 0.491, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921486107788E9, 0.0, 2022-02-27 11:24:46.107
8.0, -1402.191984914778, -4556.6266246588975, -1882.4639180259608, -10269.643100457562, -732.9584041784292, 166.02875781402085, -5514.42122631326, -1607.8503856480581, -1520.8573962280032, -6227.911261071117, -4426.517120184555, -2947.2116168989683, -4031.9417753150196, -2953.4030501130883, -9871.782049153097, -14361.353440446073, 0.008, -0.12, 0.99, 192.0, 0.0, 32.0, 126.0, 32.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645921486115747E9, 0.0, 2022-02-27 11:24:46.115
10.0, -1448.8847790819143, -4606.247497349679, -1981.191573285052, -10392.935322873036, -802.2711637343364, 64.99887287603293, -5747.66167970439, -1930.0060784823988, -4330.337563793369, -6969.095107209099, -4259.169609447671, -3059.4173740646097, -3728.3603821230395, -2849.8250663071954, -10240.831701854671, -15454.018468143759, 0.008, -0.12, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921486122746E9, 0.0, 2022-02-27 11:24:46.122
12.0, -1854.4795339679163, -4907.012570740291, -2206.6536196057345, -10634.9600118351, -1142.688231788663, -158.8985513327779, -5732.507196963692, -1884.0508918822877, -2433.9708607162074, -6842.5842335920615, -4655.376631662444, -3113.977982280014, -4224.434998564124, -3201.976800200558, -10118.1876800284, -14994.82423005393, 0.008, -0.12, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64592148613026E9, 0.0, 2022-02-27 11:24:46.130
14.0, -1128.0701909148922, -4350.856465203341, -1712.858881099091, -10102.608514143052, -494.91232572940896, 317.7971026655558, -5482.994673609099, -1610.5325949826952, -2584.263990433692, -6342.866282804762, -4233.6662690241665, -2938.0697534167475, -3785.93847583991, -2790.9282196674612, -9953.008288503683, -14639.543251936824, 0.008, -0.12, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921486138305E9, 0.0, 2022-02-27 11:24:46.138
16.0, -1946.4569624015048, -4984.371958300109, -2322.2344901841275, -10759.191007517697, -1241.6394044923072, -257.06741298048655, -5903.296876346693, -2104.5955544228023, -4326.202491069137, -7345.565539069837, -4545.718973364708, -3192.4326053181417, -4008.1595192145733, -3126.137331263701, -10365.465028937464, -15720.294799839832, 0.01, -0.118, 0.992, 192.0, 0.0, 48.0, 126.0, 48.0, 15.5, 8.0, 0.0, 0.0, 0.0, 1.645921486151881E9, 0.0, 2022-02-27 11:24:46.151
