%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -3270.8648766118145, -6016.195537590449, -2063.0436614803866, -11322.186746857971, -1554.250902444232, 19.155444998198153, -5548.641747074335, -2390.273200306082, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754721143E9, 0.0, 2022-02-27 11:12:34.721
26.0, -2862.4314501799886, -5685.724995818734, -1702.979410049845, -10924.102178108953, -1134.0157549400037, 378.8620685174547, -5150.4230678585855, -1898.6912845005138, -2114.5867841943245, -7290.312026776318, -4605.599296760475, -3261.2089230071215, -4732.22192909979, -3731.6460885579695, -10144.495683252297, -13671.533903066385, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754721146E9, 0.0, 2022-02-27 11:12:34.721
28.0, -1123.6668972571968, -2612.4942436807446, -669.7476708588208, -5230.442313008584, -370.658978302357, 435.5684442005687, -2484.686968885299, -937.4321624555782, -4888.795899009216, -7857.241673140726, -4270.32312993087, -3320.3516388358644, -4254.922778001163, -3433.093837868433, -10469.892379032657, -14741.154282230651, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754821559E9, 0.0, 2022-02-27 11:12:34.821
2.0, -3153.9652531105585, -5961.3443566971255, -2049.610263062747, -11212.797309493699, -1599.60259194405, 126.01913523902122, -5568.668910106291, -2525.657716471877, -5617.105140340941, -8322.850861889227, -4413.77662584503, -3440.738134472148, -4417.174091002237, -3628.0681047520766, -10714.465166862628, -15137.85304282344, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754827771E9, 0.0, 2022-02-27 11:12:34.827
4.0, -2954.5876925692196, -5782.172773143384, -1833.4241906910172, -10962.323661127528, -1375.1016706349458, 340.95350992125395, -5228.967097874534, -2087.4964699144925, -2376.437470488247, -7416.04058933742, -4623.860671980461, -3286.8016704084484, -4811.347104471577, -3816.180386087941, -10278.829667428692, -13720.931258312614, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754834234E9, 0.0, 2022-02-27 11:12:34.834
6.0, -2523.757818193176, -5454.876179084323, -1573.9651410538127, -10708.74312028207, -1007.370770856234, 643.1267432125501, -5159.006137729423, -2124.4662552435702, -4478.574333020965, -7609.360827131371, -4200.3845215302135, -3262.9523590746358, -4254.252225667504, -3401.264953764076, -10419.936230175046, -14353.17270197543, 0.007, -0.052000000000000005, 0.493, 192.0, 0.0, 56.0, 126.0, 96.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.645920754842412E9, 0.0, 2022-02-27 11:12:34.842
8.0, -3360.964758511157, -6112.442149215001, -2169.505020321014, -11317.068197377706, -1764.3125968352076, -2.3692849122625486, -5481.966493364155, -2419.6880960092662, -4228.525367799445, -8235.634355024618, -4722.722437706285, -3468.051966196533, -4823.864081366549, -3934.7787421678, -10616.38571219274, -14725.530412856391, 0.007, -0.052000000000000005, 0.493, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754850365E9, 0.0, 2022-02-27 11:12:34.850
10.0, -2478.361425204447, -5405.747044771558, -1505.702913487305, -10619.649066883216, -951.8043341403406, 706.1810143209714, -5026.5720518317285, -1919.6125173106811, -2648.100572598049, -7119.969382282422, -4331.924537649696, -3186.062358148379, -4491.873620971874, -3521.0479523000663, -10177.889189468526, -13557.651765066597, 0.007, -0.052000000000000005, 0.493, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754857364E9, 0.0, 2022-02-27 11:12:34.857
12.0, -3135.9944505684916, -5951.755458325799, -2042.54711181487, -11205.018902423251, -1589.3878447279747, 136.0774202439094, -5539.544587081026, -2516.851129156486, -5621.01669562062, -8311.227954772468, -4406.668771108243, -3434.7478669581255, -4408.501614153578, -3616.601659846504, -10704.943323724667, -15136.020199778104, 0.007, -0.052000000000000005, 0.493, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754865081E9, 0.0, 2022-02-27 11:12:34.865
14.0, -2964.82479152975, -5794.7568052717215, -1845.1141530411428, -10974.125382199929, -1386.903391707348, 323.8097219240334, -5217.612411691238, -2092.615019394758, -2402.0302178895736, -7439.912252415687, -4631.728486028729, -3292.300199544454, -4814.7222178843285, -3827.4009618045047, -10275.40985052703, -13734.699932897083, 0.007, -0.052000000000000005, 0.493, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920754872869E9, 0.0, 2022-02-27 11:12:34.872
