%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -1811.1395014690759, -3522.858443600946, -960.3427005222679, -4880.570457049663, -389.143870966896, 716.5522237482338, -2910.152424592069, -1745.3806692815626, -1099.4376062676438, -3645.234244493752, -1053.4824196675324, -252.26178792259552, -2670.2735030977137, -1972.2508755029294, -6971.240874676809, -6363.11696328127, 0.01, -0.1, 0.994, 192.0, 0.0, 40.0, 126.0, 112.0, 15.5, 8.0, 0.0, 0.0, 0.0, 1.645920234854309E9, 0.0, 2022-02-27 11:03:54.854
2.0, -3627.1516832294087, -6997.86180232308, -1890.8681739411563, -9783.760879488096, -797.8902218210962, 1440.5475784000848, -5838.745038359766, -3604.084682951532, -5262.8299907243245, -8244.128017917636, -3586.8514879764903, -2075.247713952984, -4956.968719597902, -4236.281423125437, -12098.663997490883, -14182.42772608134, 0.01, -0.1, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234860648E9, 0.0, 2022-02-27 11:03:54.860
4.0, -3945.261710317339, -7181.548438256793, -2009.578288743292, -9949.901396024394, -1046.598082375298, 1223.4450845056874, -5828.2173667213165, -3553.860313160457, -3528.088751803488, -7918.977191326284, -3606.051636463599, -1743.8383989141464, -4980.862734420626, -4160.084326277295, -11598.320197858835, -13562.345631402211, 0.01, -0.1, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234867833E9, 0.0, 2022-02-27 11:03:54.867
6.0, -3569.439479045806, -6981.679139337438, -1890.9128774300668, -9728.887346850319, -736.3111658467252, 1477.606770706984, -5833.760599346233, -3534.146074550876, -3793.046330576698, -7654.980737564652, -3559.6941184632924, -1910.1800811505416, -4933.968774553392, -4160.911340822142, -11761.912615527228, -13471.977528569405, 0.01, -0.1, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234874753E9, 0.0, 2022-02-27 11:03:54.874
8.0, -3865.5330378452586, -7091.493259846361, -1966.7970498558343, -9901.778090212118, -984.7731572119186, 1304.3807511783543, -5836.129884258496, -3601.313066639074, -5100.533974234339, -8387.1791824316, -3612.734808055736, -1967.3781952116724, -4972.749051183349, -4220.568146773356, -12004.965484734235, -14224.069026001576, 0.012, -0.1, 0.99, 192.0, 0.0, 48.0, 126.0, 112.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645920234882785E9, 0.0, 2022-02-27 11:03:54.882
10.0, -3774.829658845623, -7103.2055739409425, -1972.3402824807506, -9836.37688593589, -889.4429671100339, 1342.64693768584, -5829.714933599822, -3496.393978165863, -2752.572626182154, -7464.610930038802, -3580.5929995290044, -1713.5964886661159, -4959.807391143727, -4091.2409533549494, -11463.852103215708, -13091.506134451169, 0.012, -0.1, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234890196E9, 0.0, 2022-02-27 11:03:54.890
12.0, -3628.5151396411825, -6989.658712107982, -1899.7641682343685, -9766.5053327686, -786.2449629598813, 1450.091773282501, -5849.876207098509, -3618.9932965032217, -5244.568615504339, -8219.652857739075, -3592.6629415348702, -2075.6276936087243, -4954.9570625969245, -4231.9675364455625, -12100.34037832503, -14160.925347915334, 0.012, -0.1, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234897496E9, 0.0, 2022-02-27 11:03:54.897
14.0, -3957.465762789937, -7177.525124254838, -2021.1564923711412, -9939.105503452482, -1046.5533788863872, 1220.7181716821399, -5822.048285251652, -3551.6474904593815, -3594.9204677248563, -7935.159854311926, -3618.0992267250094, -1746.2300355708642, -4983.209667588433, -4165.918131580131, -11618.526174846433, -13582.35044268971, 0.012, -0.1, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234905455E9, 0.0, 2022-02-27 11:03:54.905
16.0, -3569.3947755568956, -6975.554761356683, -1902.200508379997, -9720.818367101952, -734.6347850125773, 1466.6544159238836, -5855.844122868076, -3562.4210312868395, -3743.3136991636397, -7632.114902986873, -3562.3316243090185, -1891.426967552539, -4943.289451991254, -4156.2398262309825, -11747.674554309197, -13444.127254978092, 0.013000000000000001, -0.10300000000000001, 0.991, 192.0, 0.0, 56.0, 126.0, 88.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.645920234913438E9, 0.0, 2022-02-27 11:03:54.913
18.0, -3860.436840109449, -7091.4709081019055, -1971.066233046798, -9887.808249927552, -972.3679390392232, 1303.061998255491, -5848.624509409012, -3593.0429211906103, -5143.806951499814, -8384.429917863597, -3613.1594912003866, -1962.773735853879, -4978.851077419648, -4239.768295260465, -12016.320170917532, -14234.82021508458, 0.013000000000000001, -0.10300000000000001, 0.991, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920234920011E9, 0.0, 2022-02-27 11:03:54.920
