%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
198.0, -3235.25854769451, -6197.624647334176, -1492.2695150696654, -10455.766076536904, -784.479175147912, 589.6613704754557, -5334.57909042586, -2643.6749271958984, -4471.488830028633, -7961.311395324636, -4056.4392872380363, -2949.5138465778646, -4634.410695363366, -3856.1900086629403, -11297.510420979312, -14333.302001154661, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488818245E9, 0.0, 2022-02-27 11:08:08.818
200.0, -3561.7281272087253, -6381.9147803681835, -1609.5491182266617, -10632.143692033731, -1062.5795796608425, 393.9718477692423, -5301.118528976265, -2636.7905899036637, -3707.6403150129695, -7977.024671676716, -4083.0825666287624, -2718.0391809987045, -4653.499085128198, -3833.011249662787, -11036.933784119343, -14176.884493456424, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488818248E9, 0.0, 2022-02-27 11:08:08.818
0.0, -1707.6062211520937, -3168.9185701511587, -794.15748049706, -5290.0097119819775, -553.0492130576627, 231.87699697935548, -2685.316227116135, -1341.1046673184237, -1863.1520108165755, -3818.3261535556503, -2015.9261841685993, -1434.0655725080458, -2309.784568522521, -1900.3900170791171, -5570.680567107269, -6982.662616093471, 0.01, -0.108, 0.984, 192.0, 0.0, 40.0, 126.0, 80.0, 15.0, 96.0, 0.0, 0.0, 0.0, 1.645920488899287E9, 0.0, 2022-02-27 11:08:08.899
2.0, -3406.4058549887964, -6279.834363440796, -1567.5948938840502, -10593.18460144813, -1121.6105367673083, 486.01633143619677, -5391.106652153332, -2789.9894464003382, -5181.35788218473, -8272.4029746536, -4231.252280622993, -3240.2429867080436, -4755.154818910935, -3925.9945065968645, -11463.31566134878, -14701.211714889017, 0.01, -0.108, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488906811E9, 0.0, 2022-02-27 11:08:08.906
4.0, -3755.003661513765, -6517.209889556157, -1747.4370297714509, -10776.75947865957, -1400.6944180362723, 248.59610183192515, -5378.92495142519, -2746.716469134864, -3404.6847706657377, -7921.726455894287, -4242.137580172727, -2893.947409861971, -4823.104122055069, -3914.6398204135685, -10997.706472600279, -14039.711837734205, 0.01, -0.108, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488915344E9, 0.0, 2022-02-27 11:08:08.915
6.0, -3350.213569428154, -6274.201723838059, -1560.1070594915223, -10542.624955490226, -1044.497018396499, 521.5779568645903, -5373.716994967102, -2708.740855305297, -3621.9437267713224, -7655.114848031384, -4195.087158094306, -3066.659339268129, -4778.199467444357, -3875.680729827968, -11139.550642913657, -13918.94536244218, 0.01, -0.108, 0.984, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488922824E9, 0.0, 2022-02-27 11:08:08.922
8.0, -3648.7211166287802, -6425.947716945138, -1677.1854969484207, -10726.848033290868, -1318.3058879740106, 347.03318441309744, -5382.992968916055, -2788.2907138217347, -5037.926738015025, -8414.470662411532, -4259.527237358956, -3123.1869009956004, -4783.89916228046, -3944.6358614725905, -11362.375183388613, -14762.656660396655, 0.014, -0.11, 0.978, 192.0, 0.0, 56.0, 126.0, 72.0, 15.0, 72.0, 0.0, 0.0, 0.0, 1.64592048893009E9, 0.0, 2022-02-27 11:08:08.930
10.0, -3566.667862733348, -6427.311173356912, -1658.6111973060606, -10662.452657515129, -1238.264291079556, 374.7940510265888, -5370.453640276628, -2671.6369595094875, -2535.3807253099353, -7450.641089754235, -4201.412701775158, -2861.9397118019715, -4819.52784294222, -3854.4242208509713, -10852.844816785433, -13514.95993315696, 0.014, -0.11, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488937414E9, 0.0, 2022-02-27 11:08:08.937
12.0, -3394.9617618276793, -6272.123011603715, -1554.1614954664108, -10579.862961752768, -1099.4823097565545, 504.7694450341994, -5378.500268280539, -2770.2975595352127, -5140.2083206425095, -8245.737343518418, -4225.418475320158, -3232.35282091532, -4751.198560142346, -3921.2782885167944, -11451.402181554102, -14672.154447097117, 0.014, -0.11, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6459204889448E9, 0.0, 2022-02-27 11:08:08.944
14.0, -3747.2252544433186, -6514.751197666073, -1733.8024656537136, -10770.411583234261, -1389.9432289532697, 257.6038548474139, -5363.234026817564, -2730.220881726847, -3437.094800125933, -7925.526252451689, -4233.420399835158, -2887.823031881217, -4814.699866139873, -3895.8420033266552, -11000.947475546298, -14048.697239005238, 0.014, -0.11, 0.978, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920488952719E9, 0.0, 2022-02-27 11:08:08.952
