%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
204.0, -2245.0986200688626, -5383.462355549616, -1987.0924338212533, -10715.448643618662, -929.2737757293911, 72.7772799464798, -5321.860947830791, -1678.0572149821778, -2402.14197661185, -6882.3256352335975, -4399.762082071553, -3437.675945481771, -4872.903808701492, -3591.634761289926, -10065.66108055843, -14160.366554303951, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921028927439E9, 0.0, 2022-02-27 11:17:08.927
206.0, -2414.52484304009, -5519.360961837883, -2164.6546917742126, -10916.949619883255, -1115.5979175088307, -92.15624238923102, -5583.197544002241, -2013.5345475118813, -4929.990164040347, -7627.555147117991, -4321.776845666986, -3601.8495085060013, -4702.672922929874, -3574.3568628259736, -10459.565873094305, -15218.319322862546, 0.016, -0.114, 0.998, 192.0, 0.0, 64.0, 126.0, 56.0, 15.5, 24.0, 0.0, 0.0, 0.0, 1.645921028927441E9, 0.0, 2022-02-27 11:17:08.927
0.0, -1524.925413718869, -3004.946172827026, -1374.386414812376, -5711.541260664614, -888.7500630319195, -239.70010753871293, -2936.3933725825996, -1130.3947723382441, -1855.820638635235, -3850.8255899936667, -2340.2499962151046, -1820.9072137960452, -2548.9482341943067, -1932.6435843281251, -5204.737806884981, -7521.384360955282, 0.016, -0.108, 0.998, 192.0, 0.0, 64.0, 126.0, 80.0, 15.5, 24.0, 0.0, 0.0, 0.0, 1.645921029042221E9, 0.0, 2022-02-27 11:17:09.042
2.0, -2513.587774466011, -5585.209201003218, -2303.794301008499, -10944.017582418632, -1257.48679131112, -57.35457627231792, -5456.776077363023, -1747.3252710491743, -2143.308775819394, -7010.825814107158, -4706.360960765, -3534.503702462161, -5061.329014459731, -3797.3825690010276, -10179.766736002772, -14270.225378301786, 0.016, -0.108, 0.998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029049776E9, 0.0, 2022-02-27 11:17:09.049
4.0, -2148.539084021936, -5315.401293683207, -2106.674266657146, -10751.256138236064, -948.4739242164999, 132.67995508670273, -5491.42128126875, -1850.456219965961, -4351.616424514821, -7314.027227643398, -4345.581453511889, -3557.637757973404, -4596.256267578157, -3487.5203356171055, -10380.328939000243, -14969.29853788597, 0.016, -0.108, 0.998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64592102905629E9, 0.0, 2022-02-27 11:17:09.056
6.0, -2902.1952035659797, -5892.478632030325, -2609.9908483017502, -11271.291824733236, -1622.1555020994547, -352.91169320484323, -5721.42073171386, -2077.7734610764337, -3878.2288286958733, -7793.181573531816, -4821.830072621116, -3721.9230797199107, -5107.328904548754, -3947.362774296138, -10517.70276042256, -15210.96559893675, 0.016, -0.108, 0.998, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029064265E9, 0.0, 2022-02-27 11:17:09.064
8.0, -2083.093176256797, -5273.603531551782, -2012.4616637780266, -10642.313735760896, -871.248647123414, 222.95865094168795, -5336.099009048821, -1644.2166738768428, -2542.2203591132593, -6806.374407574464, -4428.864053352363, -3464.408631850318, -4768.834086517583, -3541.7903711545914, -10129.47531097833, -14202.47724085775, 0.01, -0.108, 0.994, 192.0, 0.0, 40.0, 126.0, 80.0, 15.5, 8.0, 0.0, 0.0, 0.0, 1.645921029072331E9, 0.0, 2022-02-27 11:17:09.072
10.0, -2729.5279776487328, -5774.416717817392, -2538.3758590669468, -11199.408614564969, -1491.0848726135341, -282.41429119280474, -5804.43511062087, -2191.7226543095894, -5380.422518303695, -7961.043174391172, -4538.789932583562, -3732.9871932252877, -4768.632920817486, -3720.8725477305115, -10649.354535264318, -15669.265767248366, 0.01, -0.108, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029079494E9, 0.0, 2022-02-27 11:17:09.079
12.0, -2532.6091089974775, -5604.811680890522, -2313.36084763537, -10948.197358631774, -1268.841477494416, -66.60819847681505, -5472.444650226194, -1769.0511666597329, -2172.366043611293, -7032.7081719289035, -4705.377484008966, -3541.991536854689, -5063.00539529388, -3794.65565617748, -10186.069927939168, -14286.095116865054, 0.01, -0.108, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029086903E9, 0.0, 2022-02-27 11:17:09.086
14.0, -2142.5711682523693, -5324.945488565622, -2099.409949709171, -10734.93936478369, -938.2591770004245, 145.97924303761042, -5484.402833509784, -1859.0169380923437, -4320.391037510757, -7306.584096739781, -4342.608671499333, -3561.6834237198145, -4599.094939123981, -3477.283236656575, -10371.477648195942, -14950.813645221431, 0.01, -0.108, 0.994, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029094872E9, 0.0, 2022-02-27 11:17:09.094
16.0, -2901.9493343769714, -5891.45045178538, -2612.4942436807446, -11265.860350830597, -1615.5617374851392, -345.13328613439637, -5730.51789170717, -2097.800624108389, -3969.35689084016, -7810.750044673687, -4817.359723730055, -3721.9454314643663, -5097.874116644159, -3939.7408294368784, -10533.974830386023, -15248.605936599486, 0.011, -0.11, 0.993, 192.0, 0.0, 48.0, 126.0, 64.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.645921029109862E9, 0.0, 2022-02-27 11:17:09.109
18.0, -2091.0727490273416, -5268.9320169606235, -2011.1205591107082, -10633.39538972323, -865.5936557762213, 221.12580789635277, -5323.045590286922, -1623.6083654890497, -2503.0601028275614, -6790.1693928443665, -4444.018536093061, -3462.3969748493405, -4775.919589509916, -3545.500760734172, -10121.093406807591, -14185.065231927067, 0.011, -0.11, 0.993, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029116505E9, 0.0, 2022-02-27 11:17:09.116
20.0, -2713.546480363188, -5755.909473408398, -2522.8637484149635, -11187.338672559104, -1472.8234973935482, -272.2889509545506, -5787.0678051790965, -2193.1084624658183, -5371.973558899589, -7946.0004503727505, -4530.966822024206, -3718.2797453736957, -4752.651423531941, -3711.373056337006, -10644.705372417615, -15658.380467698631, 0.011, -0.11, 0.993, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029124526E9, 0.0, 2022-02-27 11:17:09.124
22.0, -2527.4458560283015, -5607.2703727806065, -2306.543565576502, -10954.858178479455, -1265.421660592754, -73.7607567025133, -5469.047185068987, -1778.9306377089786, -2172.4554505891147, -7043.459361011906, -4697.934353105349, -3539.085810075499, -5062.37954644913, -3791.1240805535417, -10187.098108184113, -14299.908494938434, 0.011, -0.11, 0.993, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029131841E9, 0.0, 2022-02-27 11:17:09.131
24.0, -2127.439037256126, -5321.503319919506, -2088.03291178142, -10728.636172847293, -930.0337350408715, 142.7382400915909, -5501.546621507004, -1846.4329059640058, -4273.452374154613, -7287.808631397323, -4320.771017166498, -3556.117839350443, -4591.741215198185, -3491.0742629854994, -10368.594273161207, -14935.279182824992, 0.011, -0.11, 0.993, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029139234E9, 0.0, 2022-02-27 11:17:09.139
26.0, -2906.978476879415, -5907.499004304291, -2614.5059006817223, -11274.219903256882, -1618.1992433308653, -364.35578636596045, -5720.884289846932, -2091.0503972828865, -3954.940015666487, -7818.148472088394, -4809.469557937331, -3730.7743705242124, -5101.808023668293, -3952.347213309671, -10534.310106552854, -15241.185157440324, 0.0125, -0.109, 0.9924999999999999, 192.0, 0.0, 56.0, 126.0, 80.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.645921029147275E9, 0.0, 2022-02-27 11:17:09.147
28.0, -2099.9240398316433, -5284.779403779436, -2018.5413382698703, -10640.480892715561, -866.9794639324504, 214.5320432820372, -5326.219537999576, -1634.9630516723457, -2508.111597074461, -6813.661076266894, -4443.2809285260355, -3468.8789807413796, -4782.491002379776, -3555.9166736503453, -10125.072017320635, -14182.09244991451, 0.0125, -0.109, 0.9924999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029155301E9, 0.0, 2022-02-27 11:17:09.155
30.0, -2716.385151909012, -5758.077592620563, -2525.613012982966, -11183.337710301605, -1456.3726134744422, -278.01099753510925, -5790.778194758677, -2189.95686649762, -5387.955056185134, -7952.817732431618, -4536.979441282683, -3725.7675797662237, -4754.976004955292, -3716.9386407063776, -10644.794779395435, -15652.591365884706, 0.0125, -0.109, 0.9924999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029161225E9, 0.0, 2022-02-27 11:17:09.161
32.0, -2539.3146323340693, -5612.29951528305, -2311.304487145482, -10954.277033123617, -1263.4100035917763, -68.39633803323962, -5490.6389702128145, -1782.7304342663806, -2187.766395541, -7054.67993672847, -4708.260859043701, -3547.825342157524, -5066.000529050891, -3800.7129789248684, -10189.087413440635, -14294.25350359124, 0.0125, -0.109, 0.9924999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029168785E9, 0.0, 2022-02-27 11:17:09.168
34.0, -2118.297173773906, -5315.580107638849, -2077.7287575875234, -10722.467091377628, -916.1309499896706, 147.8344378274009, -5485.878048643834, -1850.7244408994247, -4255.928606501652, -7280.119631304698, -4324.660220701721, -3557.570702740038, -4593.618761732431, -3492.0800914859883, -10359.944148057002, -14912.435699991669, 0.0125, -0.109, 0.9924999999999999, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029176852E9, 0.0, 2022-02-27 11:17:09.176
36.0, -2905.279744300812, -5898.759472222266, -2607.5545081561218, -11272.990557311841, -1612.7454176837705, -372.20124866977324, -5729.109731806485, -2094.3361037178165, -4009.590030859713, -7833.392361806913, -4795.320903697122, -3727.5110158337375, -5092.464994485974, -3951.319033064727, -10532.387856529696, -15257.434875659334, 0.013250000000000001, -0.1105, 0.98925, 192.0, 0.0, 56.0, 126.0, 64.0, 15.0, 104.0, 0.0, 0.0, 0.0, 1.645921029186527E9, 0.0, 2022-02-27 11:17:09.186
38.0, -2093.7549583619784, -5285.986397980023, -2008.7289224539904, -10636.43522696915, -862.7102807414867, 214.68850549322434, -5334.2661660034855, -1638.986365674301, -2463.586922119489, -6795.712625469283, -4430.205158019681, -3455.4679340681955, -4786.111984981535, -3564.9691301547446, -10107.302380478666, -14162.981708405223, 0.013250000000000001, -0.1105, 0.98925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029191417E9, 0.0, 2022-02-27 11:17:09.191
40.0, -2672.1510496319593, -5737.536339466136, -2490.4760706992233, -11156.11328555504, -1427.963546271747, -248.99843323212068, -5779.132935897463, -2184.346578639338, -5371.459468777117, -7940.412514258924, -4500.836670498451, -3702.946448677355, -4741.3190890931, -3697.9396579193663, -10626.265183241985, -15635.693447076494, 0.013250000000000001, -0.1105, 0.98925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029199531E9, 0.0, 2022-02-27 11:17:09.199
42.0, -2556.4360685868346, -5632.550195759559, -2322.480359373136, -10965.74347802919, -1284.711216057684, -83.68493124066964, -5472.802278137479, -1795.6497425615482, -2217.8518435778433, -7084.094832431654, -4696.280324015656, -3542.438571743795, -5069.085069785723, -3823.556461758192, -10185.958169216892, -14318.460442836338, 0.013250000000000001, -0.1105, 0.98925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029208987E9, 0.0, 2022-02-27 11:17:09.208
44.0, -2113.5362522049254, -5308.740473835525, -2073.8395540522997, -10709.950114482655, -903.9492492615283, 158.29505423248463, -5485.833345154923, -1822.5165393968273, -4188.49339347999, -7262.215883995997, -4319.13933982126, -3542.5056269771612, -4591.115366353437, -3494.2258589536978, -10338.128845468622, -14873.923644295175, 0.013250000000000001, -0.1105, 0.98925, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029215048E9, 0.0, 2022-02-27 11:17:09.215
46.0, -2907.7160844464406, -5905.397940325492, -2611.287249480158, -11270.08483053265, -1612.9689351283237, -353.8504664719661, -5719.632592157435, -2082.579086134325, -4021.682324610034, -7823.803463435586, -4800.104177010558, -3725.342896621573, -5084.328959504242, -3941.551320737758, -10531.94082164059, -15250.170558711357, 0.013625000000000002, -0.11025, 0.989625, 192.0, 0.0, 56.0, 126.0, 72.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645921029229066E9, 0.0, 2022-02-27 11:17:09.229
48.0, -2097.6888653861124, -5288.355682892285, -2010.6288207326916, -10638.268070014487, -864.3866615756348, 224.50092130910414, -5328.342953722829, -1624.9718219008234, -2450.108820212939, -6781.027529362146, -4439.794056391008, -3455.356175345919, -4776.880714521493, -3566.064365633055, -10105.201316499868, -14151.403504777374, 0.013625000000000002, -0.11025, 0.989625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6459210292371E9, 0.0, 2022-02-27 11:17:09.237
50.0, -2679.035386924194, -5744.867711647476, -2494.8346608680085, -11154.593366932078, -1427.2706421936325, -246.33857564193914, -5758.658737976401, -2153.9035026912097, -5374.409899045218, -7925.2803832626805, -4505.575240322976, -3704.175794622397, -4729.159740109413, -3704.9357539338775, -10628.902689087712, -15629.837290029203, 0.013625000000000002, -0.11025, 0.989625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029244227E9, 0.0, 2022-02-27 11:17:09.244
52.0, -2550.2222836282594, -5631.700829470257, -2319.574632593946, -10965.02822220662, -1271.1884106622233, -75.43713753666134, -5481.564161963959, -1782.0375301882661, -2218.7906168449663, -7074.729451504881, -4699.968361850782, -3541.768019410136, -5064.324148216742, -3816.2921448102175, -10188.081584940146, -14321.83555624909, 0.013625000000000002, -0.11025, 0.989625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029251704E9, 0.0, 2022-02-27 11:17:09.251
54.0, -2103.969705578054, -5312.540270392928, -2063.580103347314, -10703.758681268535, -889.1747461765702, 178.7916038980012, -5460.195894264686, -1803.2269839318974, -4165.202875757561, -7245.832055310257, -4307.024694326484, -3538.638775186393, -4580.565342970532, -3491.856574041435, -10332.04917097678, -14862.680716834155, 0.013625000000000002, -0.11025, 0.989625, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645921029261374E9, 0.0, 2022-02-27 11:17:09.261
56.0, -2904.8997646450716, -5916.305591619682, -2618.462159450312, -11276.633891658055, -1610.823167660614, -353.0905071604857, -5740.553824967602, -2095.096063029297, -4071.817287423288, -7842.578928778044, -4786.380205914999, -3728.047457700665, -5074.71770938846, -3950.357908053149, -10537.014667631945, -15276.791486357628, 0.014812500000000001, -0.108125, 0.9898125, 192.0, 0.0, 64.0, 126.0, 88.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.64592102926691E9, 0.0, 2022-02-27 11:17:09.266
