%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -3378.6896918642155, -6353.393954443211, -1669.85412476708, -10982.574341604035, -1298.5692976199743, 450.1194298409736, -5228.631821707705, -2586.7673858126864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577001336E9, 0.0, 2022-02-27 11:09:37.001
240.0, -3465.481515584173, -6407.6863417251525, -1733.176616808965, -11029.08832181553, -1365.93745540827, 415.6306881464348, -5264.036984924911, -2607.6662668783983, -4147.1426662376725, -7981.137392656493, -4532.889072047362, -3273.2788650129874, -4850.194436334901, -3938.4444282584705, -11032.642249183924, -14453.733200279858, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577001339E9, 0.0, 2022-02-27 11:09:37.001
0.0, -1790.2853238922744, -3289.617990209817, -902.3622754052014, -5560.1975989577295, -788.6365996165991, 51.118439569287254, -2681.1364509029927, -1422.6438310913838, -1958.1245730071753, -3868.4834681133593, -2194.6507328332345, -1546.606605840517, -2341.6805078602442, -1880.4746127694384, -5426.623574092815, -7153.362888498651, 0.009000000000000001, -0.055, 0.504, 192.0, 0.0, 72.0, 126.0, 72.0, 15.5, 64.0, 0.0, 0.0, 0.0, 1.645920577113728E9, 0.0, 2022-02-27 11:09:37.113
2.0, -3378.8238023309473, -6388.016806604482, -1615.3158682961307, -10939.681343994302, -1368.4408507872643, 300.5639076905141, -5184.442422919563, -2682.4775555703113, -3917.769064637311, -7927.739075152765, -4574.262151034135, -3315.456606800152, -4877.463564570376, -3902.234602240873, -10916.502584994148, -14364.8403125811, 0.009000000000000001, -0.055, 0.504, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577120809E9, 0.0, 2022-02-27 11:09:37.120
4.0, -3469.9518644752343, -6488.465546186632, -1714.5576136776942, -11050.411886025893, -1470.7447851592046, 184.53600222301512, -5278.766784520958, -2794.2139261023913, -3948.100381863163, -7845.574062535055, -4468.717213716175, -3195.852422219804, -4765.749545782751, -3773.622664645036, -10818.177261135252, -14407.442737512916, 0.009000000000000001, -0.055, 0.504, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577128137E9, 0.0, 2022-02-27 11:09:37.128
6.0, -3500.8866788013793, -6508.269191774034, -1737.4457999999286, -11058.838493685544, -1498.3491895615089, 175.79647014099004, -5304.247773200009, -2763.748498409808, -4047.2974237558155, -8024.8350530666185, -4645.58656759102, -3406.517613711073, -4959.293301021255, -3986.6571410485676, -11000.343978446004, -14466.876026019578, 0.009000000000000001, -0.055, 0.504, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577136226E9, 0.0, 2022-02-27 11:09:37.136
8.0, -3359.4895433771067, -6386.161611814691, -1604.765844913226, -10935.434512547794, -1350.0453651005466, 298.57460243399174, -5167.589207600261, -2663.09859312756, -3864.5272093447697, -7813.588716219511, -4469.968911405672, -3176.5181632659633, -4764.1849236708795, -3791.101728809086, -10806.934333674233, -14320.494451581772, 0.018000000000000002, -0.10400000000000001, 0.992, 192.0, 0.0, 72.0, 126.0, 96.0, 15.5, 0.0, 0.0, 0.0, 0.0, 1.645920577142694E9, 0.0, 2022-02-27 11:09:37.142
10.0, -3563.471563276239, -6572.798678016506, -1795.0238937167996, -11123.703256094845, -1548.3276901635754, 93.63145752328128, -5333.1485787807205, -2849.8474180516505, -4069.4032990221144, -7995.062529452149, -4579.33599702549, -3316.708304489649, -4888.058291442191, -3929.168454309518, -10933.467559035726, -14485.115049495107, 0.018000000000000002, -0.10400000000000001, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577150629E9, 0.0, 2022-02-27 11:09:37.150
12.0, -3373.034700517023, -6385.826335647862, -1610.823167660614, -10946.699791753268, -1359.9695396387028, 279.06152952450867, -5159.721393551993, -2679.035386924194, -3922.753503650845, -7911.176432511382, -4575.1785725568025, -3311.1427201202778, -4881.196305894412, -3922.977021095398, -10915.228535560196, -14364.37092594754, 0.018000000000000002, -0.10400000000000001, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577158704E9, 0.0, 2022-02-27 11:09:37.158
14.0, -3470.153030175332, -6491.348921221366, -1707.6062211520937, -11048.37787728046, -1466.2744362681433, 181.25029578808497, -5279.459688599073, -2757.937044851428, -3970.6756437630233, -7846.736353246732, -4475.98153066415, -3190.309189594888, -4770.979853985293, -3811.531223241237, -10817.752577990601, -14398.457336241883, 0.018000000000000002, -0.10400000000000001, 0.992, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645920577165295E9, 0.0, 2022-02-27 11:09:37.165
