%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
96.0, -390.99906575668643, -2801.0535599057152, -2267.5621232464464, -9316.184737227528, 33.84054110533489, 295.73593088816773, -4523.188414953758, -1722.4254277259622, -2692.8487649975737, -4438.385896490324, -3501.892507301868, -2532.6314607419326, -2919.3613433076553, -1991.6745414345912, -8019.045951252694, -15095.831763247463, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062171031E9, 0.0, 2022-02-27 11:51:02.171
98.0, -50.24672153553028, -2540.1416468789157, -2000.7493496834459, -9016.134919659486, 349.24600711417287, 500.72377928778883, -4333.802084183942, -1446.671956380839, -1314.4166844387871, -3782.295141493695, -3378.5332296530282, -2422.794988488554, -2842.3595836591226, -1868.5387812303045, -7753.82015154602, -14388.868437870555, 0.014, -0.106, 1.004, 192.0, 0.0, 56.0, 126.0, 88.0, 15.5, 48.0, 0.0, 0.0, 0.0, 1.645923062171034E9, 0.0, 2022-02-27 11:51:02.171
0.0, 67.36815778829549, -1178.8310025728945, -925.8316070832739, -4415.877689823829, 256.0392327355424, 310.64454443985755, -2117.8501388847994, -678.2189820073822, -1740.0833058456549, -2286.1364228888065, -1712.657715398993, -1276.6869397982289, -1415.223051932222, -979.5652007538321, -4061.1778570625615, -7667.162438292795, 0.016, -0.106, 0.99, 192.0, 0.0, 64.0, 126.0, 88.0, 15.0, 120.0, 0.0, 0.0, 0.0, 1.645923062254954E9, 0.0, 2022-02-27 11:51:02.254
2.0, -85.4507190526389, -2550.132876650438, -2087.9211530591433, -9081.55847568017, 261.78363106055633, 390.68614133431214, -4519.612135840909, -1722.3136690036856, -3355.8685607753473, -4264.712842072588, -3313.6014120103614, -2472.237047223693, -2717.480387387322, -1805.7527310553469, -8007.914782513951, -15126.431301406777, 0.016, -0.106, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062262413E9, 0.0, 2022-02-27 11:51:02.262
4.0, -409.37219969894886, -2786.815498687685, -2264.4552307671584, -9290.12260319264, -5.789101813924529, 308.47642522769274, -4500.344932120434, -1646.3847930890076, -1667.2389706658091, -4159.324366965815, -3647.6929363838362, -2528.652850228888, -3130.3171074768434, -2088.926981559632, -7922.620525672499, -14762.902529585665, 0.016, -0.106, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062269014E9, 0.0, 2022-02-27 11:51:02.269
6.0, 178.36692075335037, -2319.9322605052307, -1848.0645833092433, -8813.292838727575, 531.2562622137383, 612.2142806308605, -4296.407615710213, -1431.7409910846939, -1896.4337583105278, -3714.1670243939193, -3272.295388256954, -2364.367528482381, -2747.5881871686206, -1730.6508696855153, -7753.261357934637, -14462.159807939508, 0.016, -0.106, 0.99, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062277031E9, 0.0, 2022-02-27 11:51:02.277
8.0, -499.85206125403187, -2866.410060693033, -2378.0914995779394, -9407.692779027555, -106.0143239515214, 192.85085116038934, -4663.132686988436, -1861.7438509158912, -3363.892837034802, -4600.078415880014, -3574.3792145704288, -2593.94229578284, -2974.994835256915, -2043.128257170708, -8156.799752330751, -15376.726135817307, 0.016, -0.10400000000000001, 0.988, 192.0, 0.0, 64.0, 126.0, 96.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.645923062285503E9, 0.0, 2022-02-27 11:51:02.285
10.0, -55.18645706015314, -2500.891983615397, -1988.6123524442141, -8989.290474568663, 328.7941609375669, 533.7373058482774, -4315.7865781529645, -1421.1686159573337, -930.9278048190838, -3623.731866327747, -3448.6283002648715, -2392.195450329238, -2961.4943816059094, -1872.8973713990895, -7688.217781569694, -14239.49172967574, 0.016, -0.10400000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062292131E9, 0.0, 2022-02-27 11:51:02.292
12.0, -86.85887895332324, -2553.5079900631895, -2086.7588623474676, -9082.720766391845, 259.9060845263105, 387.1769174548289, -4525.334182421468, -1717.4409887124289, -3334.9920314540905, -4247.79257151992, -3318.250574857065, -2480.8424688389864, -2716.6310210980205, -1800.2765536637967, -8009.591163348099, -15113.422586133789, 0.016, -0.10400000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645923062299674E9, 0.0, 2022-02-27 11:51:02.299
14.0, -423.140874283418, -2799.131309882559, -2276.4804692841135, -9307.869888290154, -9.566546626871423, 296.94292508875435, -4493.550001806021, -1646.273034366731, -1678.6830638269264, -4168.466230448035, -3657.9970905777327, -2546.3777835819465, -3132.328764477821, -2107.4565777130815, -7929.840139131563, -14772.513779701447, 0.016, -0.10400000000000001, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64592306230761E9, 0.0, 2022-02-27 11:51:02.307
