%OpenBCI Raw EEG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
0.0, -916.667391856598, -3541.1868740542977, -1718.6479829130153, -9295.151745695084, 196.65064771779154, 301.79325363555597, -4624.039485936104, -1455.925578585336, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515551814E9, 0.0, 2022-02-27 11:41:55.551
156.0, -1260.5042768125866, -3803.462243492871, -1935.6610698295917, -9531.476739821046, -107.98127746358843, 142.380612180306, -4621.379628345922, -1400.2026796582556, -1932.7553430504017, -4679.181239507347, -3661.148686545931, -2743.6766318889418, -3147.974985596536, -1976.0506720603314, -8334.943155639548, -15052.69289644872, 0.004, -0.054, 0.485, 192.0, 0.0, 32.0, 126.0, 80.0, 15.0, 40.0, 0.0, 0.0, 0.0, 1.645922515551817E9, 0.0, 2022-02-27 11:41:55.551
0.0, -673.3015982272146, -1904.1451101476086, -1042.239492206513, -4815.079845795613, -104.38264660628398, 6.906689036689882, -2453.8639132814305, -850.5956352467102, -2084.03194952392, -2534.5090072761786, -1696.4974041578062, -1373.6711589898061, -1377.9850456696804, -870.2428186229251, -4254.118115200772, -7865.60122556701, 0.006, -0.11, 0.98, 192.0, 0.0, 24.0, 126.0, 72.0, 15.0, 80.0, 0.0, 0.0, 0.0, 1.645922515650605E9, 0.0, 2022-02-27 11:41:55.650
2.0, -1232.4304857767208, -3694.430434039883, -1938.5891483532369, -9469.562407679845, -65.42355602068378, 179.28334227601795, -4651.040393238115, -1349.1736470667895, -1723.274794015264, -4477.568504520476, -3637.120561256476, -2652.548569744655, -3136.5085406909634, -1894.913839687567, -8255.01331746737, -14917.643656449754, 0.006, -0.11, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515656827E9, 0.0, 2022-02-27 11:41:55.656
4.0, -685.4609472109017, -3257.1409055162558, -1552.5745216100838, -9040.699486815869, 429.24290051971684, 496.7898722636548, -4502.736568777153, -1205.0272470745144, -2290.40560607977, -4185.744128911988, -3267.0874317988673, -2509.8326813975195, -2729.3044602041796, -1547.7465448077376, -8146.2273772033905, -14785.231922296516, 0.006, -0.11, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64592251566466E9, 0.0, 2022-02-27 11:41:55.664
6.0, -1373.1123653784234, -3817.499139010804, -2085.50716465797, -9623.409464765724, -231.3852586013387, 45.41874473318395, -4834.369401260544, -1582.9058388359356, -3413.2454887921203, -4978.895780908559, -3598.0944154375097, -2729.483274159822, -3030.6059754617186, -1867.711766685458, -8483.694014989616, -15585.849056941159, 0.006, -0.11, 0.98, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515672632E9, 0.0, 2022-02-27 11:41:55.672
8.0, -869.3487488447129, -3393.643008904816, -1658.8123630061584, -9163.231749919862, 275.19467773374055, 433.3109180105827, -4488.118527903382, -1146.3539178793333, -1206.9494970976707, -4012.808682061277, -3410.3621137573855, -2516.3370390340137, -2925.6198317551416, -1666.7248805433371, -8067.728050676353, -14474.587377856658, 0.004, -0.112, 0.988, 192.0, 0.0, 16.0, 126.0, 64.0, 15.0, 112.0, 0.0, 0.0, 0.0, 1.645922515679142E9, 0.0, 2022-02-27 11:41:55.679
10.0, -1002.9227737096279, -3525.6524116578594, -1818.2250044614084, -9338.737647382934, 112.0045914655437, 251.94886350022122, -4733.563033767108, -1501.0761023850564, -3639.9368810578444, -4719.79435918264, -3332.063952930445, -2616.85283384953, -2740.8826638320284, -1622.826054433114, -8372.449382835553, -15429.364494009555, 0.004, -0.112, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515687181E9, 0.0, 2022-02-27 11:41:55.687
12.0, -1231.268195065045, -3693.692826472858, -1940.5561018653038, -9469.87533210222, -69.87155316728987, 185.65358944578045, -4661.3445474320115, -1357.7567169376275, -1750.946253650934, -4475.690957986231, -3631.24205246473, -2650.9615958883282, -3134.7874563679047, -1887.2471913393965, -8255.438000612021, -14931.009999634029, 0.004, -0.112, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515695312E9, 0.0, 2022-02-27 11:41:55.695
14.0, -682.3764064760693, -3256.805629349426, -1548.5512076081286, -9035.603289080058, 433.6461941774123, 503.45069211133625, -4501.194298409736, -1200.2216220166233, -2267.11508835734, -4171.439012460592, -3262.974710819091, -2500.3108382595587, -2731.450227671889, -1538.7164400477934, -8139.141874211058, -14771.575006434323, 0.004, -0.112, 0.988, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.645922515701794E9, 0.0, 2022-02-27 11:41:55.701
